offset_hex	va	encoding	value
0xA500	0x18000B100	ascii	@SUVWAVAWH
0xA587	0x18000B187	ascii	(A_A^_^][
0xA597	0x18000B197	ascii	(A_A^_^][
0xA5B0	0x18000B1B0	ascii	@SUVWATAVAWH
0xA64E	0x18000B24E	ascii	D>`H
0xA669	0x18000B269	ascii	D>dH
0xA67C	0x18000B27C	ascii	D>tE
0xA6A3	0x18000B2A3	ascii	D>hA
0xA6DC	0x18000B2DC	ascii	D>lH
0xA6EA	0x18000B2EA	ascii	D>pI
0xA7FC	0x18000B3FC	ascii	L$ H
0xAA07	0x18000B607	ascii	@A_A^A\_^][
0xAA20	0x18000B620	ascii	@SUWH
0xABF6	0x18000B7F6	ascii	L$hH
0xAC06	0x18000B806	ascii	D$PH
0xAC1C	0x18000B81C	ascii	D$HH
0xAC21	0x18000B821	ascii	|$@H
0xAC37	0x18000B837	ascii	T$ H
0xACB0	0x18000B8B0	ascii	D$`H;
0xACC8	0x18000B8C8	ascii	\$hH
0xACFC	0x18000B8FC	ascii	\$hH
0xAD33	0x18000B933	ascii	\$hH
0xAD61	0x18000B961	ascii	|$PL
0xAD66	0x18000B966	ascii	t$HL
0xAE7A	0x18000BA7A	ascii	D8=_?
0xAEDB	0x18000BADB	ascii	D$!H
0xAEFA	0x18000BAFA	ascii	D$1f
0xAFCB	0x18000BBCB	ascii	L$ A
0xAFF0	0x18000BBF0	ascii	L$ H
0xB02C	0x18000BC2C	ascii	T)dH
0xB08C	0x18000BC8C	ascii	t$H;
0xB10A	0x18000BD0A	ascii	D8=l<
0xB16D	0x18000BD6D	ascii	D$!H
0xB1A0	0x18000BDA0	ascii	D$1f
0xB213	0x18000BE13	ascii	l$pH
0xB218	0x18000BE18	ascii	|$PH
0xB21D	0x18000BE1D	ascii	t$xL
0xB222	0x18000BE22	ascii	t$HL
0xB227	0x18000BE27	ascii	|$@H
0xB22C	0x18000BE2C	ascii	\$hH
0xB242	0x18000BE42	ascii	\$ UWAVH
0xB255	0x18000BE55	ascii	)t$@
0xB25D	0x18000BE5D	ascii	)|$0
0xB32D	0x18000BF2D	ascii	(t$@
0xB332	0x18000BF32	ascii	(|$0H
0xB339	0x18000BF39	ascii	PA^_]
0xB477	0x18000C077	ascii	|$xL
0xB4D2	0x18000C0D2	ascii	/hYH
0xB4F4	0x18000C0F4	ascii	|$xH
0xB573	0x18000C173	ascii	t$pH
0xB595	0x18000C195	ascii	UVWH
0xB5A4	0x18000C1A4	ascii	)t$@
0xB5A9	0x18000C1A9	ascii	)|$0
0xB69F	0x18000C29F	ascii	(t$@
0xB6A4	0x18000C2A4	ascii	(|$0H
0xB6AB	0x18000C2AB	ascii	P_^]
0xB775	0x18000C375	ascii	t$pH
0xB7AB	0x18000C3AB	ascii	t$8H
0xB7E3	0x18000C3E3	ascii	t$8H+
0xB82B	0x18000C42B	ascii	\$@H
0xB842	0x18000C442	ascii	l$ VAVAWH
0xB88B	0x18000C48B	ascii	\$@H
0xB897	0x18000C497	ascii	|$PH
0xB8DB	0x18000C4DB	ascii	O'H;
0xB9B2	0x18000C5B2	ascii	|$PH
0xB9C4	0x18000C5C4	ascii	\$@H
0xB9C9	0x18000C5C9	ascii	l$XH
0xB9DD	0x18000C5DD	ascii	 A_A^^
0xB9F0	0x18000C5F0	ascii	@SUVAUH
0xBA2A	0x18000C62A	ascii	|$xH+
0xBA32	0x18000C632	ascii	d$0L
0xBA45	0x18000C645	ascii	t$(H
0xBA50	0x18000C650	ascii	|$ H;
0xBA97	0x18000C697	ascii	N'I;
0xBAF2	0x18000C6F2	ascii	u$L;
0xBBDF	0x18000C7DF	ascii	t$(I
0xBBEF	0x18000C7EF	ascii	d$0H
0xBBFC	0x18000C7FC	ascii	|$xL
0xBC01	0x18000C801	ascii	|$ H
0xBC07	0x18000C807	ascii	8A]^][
0xC000	0x18000CC00	ascii	@WAWH
0xC0FF	0x18000CCFF	ascii	/hYH
0xC249	0x18000CE49	ascii	l$pL
0xC24E	0x18000CE4E	ascii	l$hL
0xC253	0x18000CE53	ascii	l$`L
0xC258	0x18000CE58	ascii	l$XL
0xC25D	0x18000CE5D	ascii	d$PL
0xC262	0x18000CE62	ascii	l$HA
0xC26E	0x18000CE6E	ascii	D$@D
0xC279	0x18000CE79	ascii	D$0L
0xC27E	0x18000CE7E	ascii	t$(H
0xC422	0x18000D022	ascii	D$HE3
0xC42A	0x18000D02A	ascii	L$(L
0xC42F	0x18000D02F	ascii	L$ED
0xC4D1	0x18000D0D1	ascii	D$EI
0xC4E7	0x18000D0E7	ascii	L$HH3
0xC500	0x18000D100	ascii	@SUVWAVH
0xC517	0x18000D117	ascii	D$PI
0xC525	0x18000D125	ascii	L$(E3
0xC597	0x18000D197	ascii	L$PH3
0xC5A5	0x18000D1A5	ascii	`A^_^][
0xC5BB	0x18000D1BB	ascii	L$@H
0xD200	0x18000DE00	ascii	@SUVWATAUAVAWH
0xD2D8	0x18000DED8	ascii	(A_A^A]A\_^][
0xD320	0x18000DF20	ascii	@SATAWH
0xD371	0x18000DF71	ascii	t$X3
0xD378	0x18000DF78	ascii	l$(E2
0xD389	0x18000DF89	ascii	l$PL
0xD38E	0x18000DF8E	ascii	t$ H
0xD393	0x18000DF93	ascii	|$`ff
0xD488	0x18000E088	ascii	|$`H
0xD48D	0x18000E08D	ascii	l$PL
0xD492	0x18000E092	ascii	t$ H
0xD497	0x18000E097	ascii	t$XM
0xD4B5	0x18000E0B5	ascii	l$(H
0xD4BB	0x18000E0BB	ascii	0A_A\[
0xD4E7	0x18000E0E7	ascii	0A_A\[
0xD4F2	0x18000E0F2	ascii	\$ UVWATAUAVAWH
0xD51C	0x18000E11C	ascii	T$xH
0xD534	0x18000E134	ascii	D$HH
0xD539	0x18000E139	ascii	D$HH
0xD542	0x18000E142	ascii	D$PH
0xD54B	0x18000E14B	ascii	D$AH
0xD550	0x18000E150	ascii	D$ L
0xD5DC	0x18000E1DC	ascii	D$PH
0xD5E1	0x18000E1E1	ascii	D$AH
0xD5E6	0x18000E1E6	ascii	D$ L
0xD5EB	0x18000E1EB	ascii	L$PL
0xD60D	0x18000E20D	ascii	D$PH
0xD612	0x18000E212	ascii	D$AH
0xD617	0x18000E217	ascii	D$ L
0xD61C	0x18000E21C	ascii	L$PL
0xD66E	0x18000E26E	ascii	D$pE3
0xD67F	0x18000E27F	ascii	D$HH
0xD71F	0x18000E31F	ascii	T$xH
0xD861	0x18000E461	ascii	L$HH
0xD8AC	0x18000E4AC	ascii	D$PH
0xD8B5	0x18000E4B5	ascii	D$XH
0xD8BA	0x18000E4BA	ascii	D$@H
0xD8BF	0x18000E4BF	ascii	D$ L
0xD8C4	0x18000E4C4	ascii	L$PL
0xD929	0x18000E529	ascii	D;|$p
0xD9FB	0x18000E5FB	ascii	D$PH
0xDA00	0x18000E600	ascii	D$AH
0xDA05	0x18000E605	ascii	D$ L
0xDA0A	0x18000E60A	ascii	L$PL
0xDA3C	0x18000E63C	ascii	D$xH
0xDA76	0x18000E676	ascii	D$PH
0xDA7F	0x18000E67F	ascii	D$XH
0xDA84	0x18000E684	ascii	D$@H
0xDA89	0x18000E689	ascii	D$ L
0xDA8E	0x18000E68E	ascii	L$PL
0xDAFE	0x18000E6FE	ascii	D$@H
0xDB03	0x18000E703	ascii	D$xH
0xDB08	0x18000E708	ascii	D$PH
0xDB11	0x18000E711	ascii	D$XH
0xDB16	0x18000E716	ascii	D$@H
0xDB1B	0x18000E71B	ascii	D$ L
0xDB20	0x18000E720	ascii	L$PL
0xDCCF	0x18000E8CF	ascii	|$(L
0xDCDB	0x18000E8DB	ascii	t$ A
0xDCF1	0x18000E8F1	ascii	D$P3
0xDCF8	0x18000E8F8	ascii	t$`H
